"Date","Close"
1-01-20,3525.449951
1-01-21,3525.449951
1-01-22,3525.449951
1-01-23,3525.449951
1-01-24,3525.449951
1-01-25,3525.449951
1-01-26,3525.449951
1-01-27,3525.449951
1-01-28,3525.449951
1-01-29,3525.449951
1-01-30,3525.449951
1-01-31,3525.449951
1-02-01,3525.449951
1-02-02,3525.449951
1-02-03,3525.449951
1-02-04,3525.449951
1-02-05,3525.449951
1-02-06,3525.449951
1-02-07,3525.449951
1-02-08,3525.449951
1-02-09,3525.449951
1-02-10,3525.449951
1-02-11,3525.449951
1-02-12,3525.449951
1-02-13,3525.449951
1-02-14,3525.449951
1-02-15,3525.449951
1-02-16,3525.449951
1-02-17,3525.449951
1-02-18,3525.449951
1-02-19,3525.449951
1-02-20,2145.550049
1-02-20,3398
1-02-21,3398
1-02-22,3398
1-02-23,3398
1-02-24,3398
1-02-25,3398
1-02-26,3398
1-02-27,3398
1-02-28,3398
1-03-01,3398
1-03-02,3398
1-03-03,3398
1-03-04,3398
1-03-05,3398
1-03-06,3398
1-03-07,3398
1-03-08,3398
1-03-09,3398
1-03-10,3398
1-03-11,3398
1-03-12,3398
1-03-13,3398
1-03-14,3398
1-03-15,3398
1-03-16,3398
1-03-17,3398
1-03-18,3398
1-03-19,3398
1-03-20,2115.300049
1-03-20,3633.5
1-03-21,3633.5
1-03-22,3633.5
1-03-23,3633.5
1-03-24,3633.5
1-03-25,3633.5
1-03-26,3633.5
1-03-27,3633.5
1-03-28,3633.5
1-03-29,3633.5
1-03-30,3633.5
1-03-31,3633.5
1-04-01,3633.5
1-04-02,3633.5
1-04-03,3633.5
1-04-04,3633.5
1-04-05,3633.5
1-04-06,3633.5
1-04-07,3633.5
1-04-08,3633.5
1-04-09,3633.5
1-04-10,3633.5
1-04-11,3633.5
1-04-12,3633.5
1-04-13,3633.5
1-04-14,3633.5
1-04-15,3633.5
1-04-16,3633.5
1-04-17,3633.5
1-04-18,3633.5
1-04-19,3633.5
1-04-20,1790.099976
1-04-21,1790.099976
1-04-22,1790.099976
1-04-23,1790.099976
1-04-24,1790.099976
1-04-25,1790.099976
1-04-26,1790.099976
1-04-27,1790.099976
1-04-28,1790.099976
1-04-29,1790.099976
1-04-30,1790.099976
1-05-01,1790.099976
1-05-02,1790.099976
1-05-03,1790.099976
